8218,Wars and Empire,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
30151,Macedonia: A Nation at a Crossroads,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
42911,"Variations Chromatiques de Concert
MP3, MIDI and PDF files","Bizet, Georges, 1838-1875; Jong, Songmuh [Editor]"
28363,MindGames: Short Fiction about Bizarre Mental Health Disorders,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
34419,The Ancient Law,"Glasgow, Ellen Anderson Gholson, 1873-1945"
4742,TrendSiters Digital Content and Web Technologies,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
22746,"The Copy/South Dossier
Issues in the economics, politics, and ideology of copyright in the global South","Story, Alan [Editor]"
12479,三字經,Anonymous
3204,Moby Hyphenation List,"Ward, Grady, 1951-"
3203,Moby Part of Speech List,"Ward, Grady, 1951-"
18609,Hark!  The Herald Angels Sing,"Mendelssohn-Bartholdy, Felix, 1809-1847"
18608,Oh Little Town of Bethlehem,"Redner, Lewis, 1830-1908; Davis, Rick [Arranger]"
31978,Bezette stad,"Ostaijen, Paul van, 1896-1928"
8290,The World English Bible (WEB): 2 John,Anonymous
23053,Night of the Living Dead,"Romero, George A.; Russo, John, 1939- [Contributor]"
8291,The World English Bible (WEB): 3 John,Anonymous
672,The Secret Guide to Computers,"Walter, Russ, 1947-"
8063,"The Bible, King James version, Book 63: 2 John",Anonymous
24146,A Commentary on Herodotus,"How, W. W. (Walter Wybergh), 1861-1932; Wells, J. (Joseph), 1855-1929"
303,HomeBrew HomePages Put YOU on the World Wide Web,Anonymous
19394,You'll git dar in de mornin',"Burleigh, H. T. (Harry Thacker), 1866-1949; Stanton, Frank Lebby, 1857-1927"
8064,"The Bible, King James version, Book 64: 3 John",Anonymous
2840,De Franse Pers,"Heine, Heinrich, 1797-1856"
6419,Copyright Renewals 1959,Library of Congress. Copyright Office
6348,Copyright Renewals 1953,Library of Congress. Copyright Office
6161,Copyright Renewals 1957,Library of Congress. Copyright Office
6349,Copyright Renewals 1954,Library of Congress. Copyright Office
6420,"U.S. Copyright Renewals, 1960",Library of Congress. Copyright Office
33730,Lycanthropus,"Bolen, C. Edgar (Charles Edgar), 1909-1988"
8284,The World English Bible (WEB): Philemon,Anonymous
8057,"The Bible, King James version, Book 57: Philemon",Anonymous
8371,"The Bible, Douay-Rheims, Book 71: 3 John
The Challoner Revision",
3202,Moby Thesaurus List,"Ward, Grady, 1951-"
12701,The Suffering of Being Kafka,"Vaknin, Samuel, 1961-"
8214,Capitalistic Musings,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
28409,Facts and Fictions in the Securities Industry,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
11262,Cyclopedia of Economics,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
30154,Essays on God and Freud,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
4663,Malignant Self Love [Excerpts],"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
30152,Narcissistic and Psychopathic Leaders,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
11261,Cyclopedia of Philosophy,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
14557,The Conundrums of Psychology,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
8421,The First Book of Factoids,"Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
33374,"Wake (First 25,000 words)","Sawyer, Robert J., 1960-"
4662,"Narcissism Book of Quotes
A Selection of Quotes from the Collective Wisdom of over 12,000 Individual Discussions","Vaknin, Samuel, 1961- [Editor]"
27204,滿江紅,"Yue, Fei, 1103-1142; Xie, Taofang [Editor]"
33375,"Watch (First 25,000 words)","Sawyer, Robert J., 1960-"
30153,"Abuse, Torture, and Trauma and their Consequences and Effects","Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]"
255,"QREAD, Etext Reader for Windows","Scavezze, Dan"
8258,The World English Bible (WEB): Obadiah,Anonymous
2322,Hans Huckebein,"Busch, Wilhelm, 1832-1908"
8851,"Weymouth New Testament in Modern Speech, 2 John","Weymouth, Richard Francis, 1822-1902"
8370,"The Bible, Douay-Rheims, Book 70: 2 John
The Challoner Revision",
8852,"Weymouth New Testament in Modern Speech, 3 John","Weymouth, Richard Francis, 1822-1902"
8031,"The Bible, King James version, Book 31: Obadiah",Anonymous
